"id","name","isTraded","trueOdds","formatDecimal","formatAmerican","status"
"fcdc9697-3e48-3874-842f-434ce3cfcd0f","Tie","True","2.3","2.3","130","ONGOING"
"f26e0b51-f85a-31e1-99c9-779f6858dad8"," Soderberg, Sebastian ","True","2.75","2.75","175","ONGOING"
"36e4f4cb-0620-33f4-a525-694958d42440"," Lombard, Zander ","True","3.95","3.95","295","ONGOING"
"aef33030-39da-338d-9a92-ab5a3460e399","Tie","True","1.598802395","1.59","-167","ONGOING"
"58f955d3-224a-37c3-8c85-2e284c7bf650"," Soderberg, Sebastian ","True","4.5","4.5","350","ONGOING"
"0593be34-2b26-34b7-82bf-7a8086657d78"," Lombard, Zander ","True","4.25","4.25","325","ONGOING"
"aa9a8dee-5d13-379d-abac-4a22bf85ce49","Tie","True","1.649350649","1.64","-154","ONGOING"
"b33d0bd3-9efd-3f9d-aa82-11bb65003dbf"," Wu, Ashun ","True","3.8","3.8","280","ONGOING"
"c0001ab8-e160-3cd9-961e-f957cf8e52dc"," Wu, Ashun ","True","3.65","3.65","265","ONGOING"
"da4b7c0d-1fd9-3a86-ba58-aa32a05597a9","Tie","True","1.649350649","1.64","-154","ONGOING"
"8c1b4777-4ca8-3d75-bc3d-1795f94cca96"," Soderberg, Sebastian ","True","4.65","4.65","365","ONGOING"
"0aa37106-d6f7-33f7-bb49-e752ee15ca1f"," Lombard, Zander ","True","2.7","2.7","170","ONGOING"
"b037fc71-8636-3692-8411-32f62172429d","Tie","True","2.65","2.65","165","ONGOING"
"ea8266d3-4561-35b2-8ac5-0bc313bc3fa8"," Soderberg, Sebastian ","True","2.85","2.85","185","ONGOING"
"caed2bfc-7b7a-304e-93e2-1f1334f7bef0"," Lombard, Zander ","True","2.8","2.8","180","ONGOING"
"b6e83ff8-436e-32c6-bbc4-270ef575face","Tie","True","2.65","2.65","165","ONGOING"
"f6e6de5a-9f70-365e-8c51-e46793f60195"," Wu, Ashun ","True","2.7","2.7","170","ONGOING"
"f0bb7746-97c0-3609-8c5f-c36962ac0f38"," Wu, Ashun ","True","2.65","2.65","165","ONGOING"
"e9973fa3-fff9-3327-adfa-fb2aef42e87b","Tie","True","2.65","2.65","165","ONGOING"
"1a3af0d4-7085-3b9c-adb1-6e4a8d6ab4d5"," Soderberg, Sebastian ","True","2.9","2.9","190","ONGOING"
"862c7f34-2c77-3d55-a57b-98c975fdc11e","Lombard, Zander","True","2.75","2.75","175","ONGOING"
"fd2eb6b0-9b44-3cc4-b198-958c07031033","Wu, Ashun","True","3.05","3.05","205","ONGOING"
"e16d60f7-f382-3901-a77b-3bb00a4f10ef","Soderberg, Sebastian","True","2.45","2.45","145","ONGOING"
"5667f544-5557-3e72-b2ed-ebc1a5bc78e8","Lombard, Zander","True","2.75","2.75","175","ONGOING"
"241304ac-ca3f-38b6-aa67-8fcd64e35b23","Wu, Ashun","True","2.95","2.95","195","ONGOING"
"9f65ce28-0831-398c-9a6c-fd9042b7d816","Soderberg, Sebastian","True","2.55","2.55","155","ONGOING"
"93294fa5-c289-329d-bc93-8073eeee44f7","Lombard, Zander","True","2.7","2.7","170","ONGOING"
"53c132a2-6455-3f9f-bc65-7f143c591f06","Wu, Ashun","True","2.65","2.65","165","ONGOING"
"bcc3dd08-9318-3c49-a16a-4bb7b54a16d1","Soderberg, Sebastian","True","2.85","2.85","185","ONGOING"
"6e86ade2-3aa7-3cb5-8c38-00826ecd50aa","Yes","True","2.8","2.8","180","ONGOING"
"4c00fe63-b98d-39dc-a562-dc0d7a436073","No","True","1.37037037","1.37","-270","ONGOING"
"cc246375-5a73-39ed-8420-e382a99d8662","Yes","True","1.37037037","1.37","-270","ONGOING"
"ee6aea51-23e5-37f7-b13c-d144b6f17d08","No","True","2.8","2.8","180","ONGOING"
"63532730-5d8a-309f-872c-08f65ebdd8ce","Hontama, Mai +2.5","True","2.6","2.6","160","ONGOING"
"7e84c7ea-b50a-36b7-b04c-12e4a3fbf481","Kaji, Haruka -2.5","True","1.434782608","1.43","-230","ONGOING"
"099776cf-cd51-3524-a3ef-bca4c8ebd911","Hontama, Mai -1.5","True","3.6","3.6","260","ONGOING"
"f461e10c-0194-318f-9a00-53bcbce3f64f","Kaji, Haruka +1.5","True","1.238095238","1.23","-420","ONGOING"
"82d32379-05ec-3f2e-96c3-b5637df0ff9f","Over 23.5","True","2.1","2.1","110","ONGOING"
"9e1e38ce-0877-3c15-8f95-32aefa9642e4","Under 23.5","True","1.649350649","1.64","-154","ONGOING"
"a367137c-8c65-3190-9bda-afe83561e66f","Hontama, Mai +1.5","True","2.07","2.07","107","ONGOING"
"a3d7827a-4618-3ab8-badb-4c508ba756d5","Kaji, Haruka -1.5","True","1.64516129","1.64","-155","ONGOING"
"10018a2d-7324-3a9e-bfa1-692a2650359e","Yes","True","2.07","2.07","107","ONGOING"
"90ae6110-11e0-3752-9702-d6be729f46fb","No","True","1.64516129","1.64","-155","ONGOING"
"64bdc6e5-a403-34d9-8c91-64fbb412a3a4","Yes","True","5.6","5.6","460","ONGOING"
"da49a6dd-6e76-324d-993f-eb3445a56f7e","No","True","1.1","1.1","-1000","ONGOING"
"99e46e58-b4c2-31bb-aa8f-5a92126c6c7a","Yes","True","2.8","2.8","180","ONGOING"
"24f7b094-44df-3683-9d9a-846723053432","No","True","1.37037037","1.37","-270","ONGOING"
"ab98cae9-6848-3b7f-8b28-31788c93e0f7","Hontama, Mai 2-1 Kaji, Haruka ","True","2.8","2.8","180","ONGOING"
"6b613f72-0130-3ce5-a42a-bd8eaa4e789b","Hontama, Mai 1-2 Kaji, Haruka ","True","6.5","6.5","550","ONGOING"
"f9c88aec-1839-3065-b059-00c968b76bde","Hontama, Mai 0-2 Kaji, Haruka ","True","1.598802395","1.59","-167","ONGOING"
"45a20679-0c57-3bf3-adcb-9dc7dfa9a9ce","Over 2.5","True","2.1","2.1","110","ONGOING"
"2d3cd812-239c-3577-b098-333a5cab81b4","Under 2.5","True","1.666666666","1.66","-150","ONGOING"
"3315e68f-865b-3bd7-8fcd-aaf65f93ac23","Over 12.5","True","2.5","2.5","150","ONGOING"
